出发机场,到达机场,航班号,计划出发,计划到达,实际出发,实际到达,飞机号,是否取消,计划出发日期,计划到达日期,实际出发日期,实际到达日期,出发延迟,到达延迟,出发经度,出发纬度,到达经度,到达纬度,距离,平均温度,最高温度,最低温度,降水量,气压,风向,风速
TNA,CGO,SC4929,1444721100,1444725600,1444720980.0,1444724520.0,1710.0,正常,2015-10-13,2015-10-13,2015-10-13,2015-10-13,-2.0,-18.0,116,36,113,34,346,19.1,26.6,11.7,0.0,1020.7,169.0,9.0
CTU,SJW,KN2376,1444659000,1444668000,1444679940.0,1444686480.0,264.0,正常,2015-10-12,2015-10-12,2015-10-12,2015-10-12,349.0,308.0,104,30,114,38,1146,23.1,27.3,18.8,0.0,1019.5,267.0,4.0
SYX,KMG,8L9968,1443879600,1443887100,1443879660.0,1443885840.0,1152.0,正常,2015-10-03,2015-10-03,2015-10-03,2015-10-03,1.0,-21.0,109,18,102,24,797,25.4,28.0,22.7,6.3,1009.4,289.0,15.0
SHE,PEK,CZ6103,1444443000,1444449000,1444443000.0,1444447200.0,2425.0,正常,2015-10-10,2015-10-10,2015-10-10,2015-10-10,0.0,-30.0,123,41,116,40,780,6.6,12.2,1.0,1.8,1009.1,203.0,8.0
CTU,NKG,CA4505,1444712100,1444719900,1444713060.0,1444720440.0,2035.0,正常,2015-10-13,2015-10-13,2015-10-13,2015-10-13,16.0,9.0,104,30,118,31,1557,22.8,26.6,19.0,0.0,1019.2,317.0,5.0
XMN,KWL,SC4771,1444733400,1444739100,1444734360.0,1444739220.0,2279.0,正常,2015-10-13,2015-10-13,2015-10-13,2015-10-13,16.0,2.0,118,24,110,25,890,22.7,26.1,19.3,0.0,1020.0,32.0,13.0
SHA,XMN,FM9523,1445083800,1445089200,1445084940.0,1445090460.0,2.0,正常,2015-10-17,2015-10-17,2015-10-17,2015-10-17,19.0,21.0,121,31,118,24,507,19.0,24.3,13.7,0.0,1020.5,71.0,8.0
HFE,KMG,MU5463,1445142600,1445152500,1445142960.0,1445151720.0,2064.0,正常,2015-10-18,2015-10-18,2015-10-18,2015-10-18,6.0,-13.0,117,31,102,24,1685,19.8,26.8,12.7,0.0,1019.3,67.0,8.0
HRB,TAO,MU5510,1445323500,1445331600,1445325600.0,1445332200.0,2389.0,正常,2015-10-20,2015-10-20,2015-10-20,2015-10-20,35.0,10.0,126,45,120,36,859,3.3,8.3,-1.7,0.0,1023.0,79.0,8.0
SHA,URC,CZ6982,1443859800,1443878700,1443862920.0,1443880380.0,2535.0,正常,2015-10-03,2015-10-03,2015-10-03,2015-10-03,52.0,28.0,121,31,88,43,3664,21.2,27.1,15.4,0.0,1021.9,98.0,7.0
SJW,XMN,NS3263,1444729500,1444739100,1444730220.0,1444738980.0,329.0,正常,2015-10-13,2015-10-13,2015-10-13,2015-10-13,12.0,-2.0,114,38,118,24,811,20.2,26.3,14.2,0.0,1019.0,231.0,7.0
TNA,TYN,SC4903,1445936100,1445940900,1445936580.0,1445940540.0,1537.0,正常,2015-10-27,2015-10-27,2015-10-27,2015-10-27,8.0,-6.0,116,36,112,37,447,11.1,17.2,5.0,0.0,1019.5,147.0,7.0
TNA,CTU,CA4528,1445865000,1445874600,1445866980.0,1445876280.0,29.0,正常,2015-10-26,2015-10-26,2015-10-26,2015-10-26,33.0,28.0,116,36,104,30,1352,11.6,13.5,9.7,1.3,1019.8,255.0,5.0
KWL,TNA,DR6535,1445071200,1445079600,1445072400.0,1445080680.0,1198.0,正常,2015-10-17,2015-10-17,2015-10-17,2015-10-17,20.0,18.0,110,25,116,36,818,24.2,31.0,17.4,0.0,1015.3,35.0,6.0
PVG,TAO,SC4604,1446045000,1446050700,1446045240.0,1446049020.0,1766.0,正常,2015-10-28,2015-10-28,2015-10-28,2015-10-28,4.0,-28.0,121,31,120,36,303,15.2,20.2,10.2,4.8,1022.6,71.0,5.0
SZX,HFE,CZ3565,1444460100,1444467600,1444461480.0,1444467420.0,1265.0,正常,2015-10-10,2015-10-10,2015-10-10,2015-10-10,23.0,-3.0,113,22,117,31,612,22.6,24.7,20.4,,1015.2,9.0,11.0
XMN,HGH,MF8376,1444632900,1444638300,1444633380.0,1444637760.0,616.0,正常,2015-10-12,2015-10-12,2015-10-12,2015-10-12,8.0,-9.0,118,24,120,30,392,22.9,26.3,19.5,0.0,1020.6,24.0,14.0
FOC,PEK,SC4757,1444292100,1444302600,1444292520.0,1444301340.0,2158.0,正常,2015-10-08,2015-10-08,2015-10-08,2015-10-08,7.0,-21.0,119,26,116,40,790,26.1,30.4,21.9,40.7,1010.8,308.0,8.0
NKG,SYX,HU7772,1445511300,1445521500,1445512260.0,1445521680.0,2068.0,正常,2015-10-22,2015-10-22,2015-10-22,2015-10-22,16.0,3.0,118,31,109,18,1149,20.9,25.2,16.7,0.0,1018.9,100.0,10.0
CTU,HGH,3U8991,1445607300,1445615700,1445613360.0,1445621040.0,1481.0,正常,2015-10-23,2015-10-23,2015-10-23,2015-10-23,101.0,89.0,104,30,120,30,1779,21.7,23.9,19.5,0.0,1011.8,322.0,7.0
PEK,URC,CZ6902,1444718400,1444734000,1444718220.0,1444730940.0,92.0,正常,2015-10-13,2015-10-13,2015-10-13,2015-10-13,-3.0,-51.0,116,40,88,43,3113,17.8,27.4,8.2,0.0,1019.1,25.0,5.0
FOC,PVG,CA1980,1443666600,1443672600,1443666900.0,1443670500.0,1901.0,正常,2015-10-01,2015-10-01,2015-10-01,2015-10-01,5.0,-35.0,119,26,121,31,355,27.6,31.1,24.2,7.0,1013.6,306.0,10.0
SJW,SHE,JD5535,1444030800,1444035300,1444032060.0,1444037100.0,935.0,正常,2015-10-05,2015-10-05,2015-10-05,2015-10-05,21.0,30.0,114,38,123,41,1013,21.8,28.4,15.2,0.0,1017.4,174.0,8.0
HRB,CGO,CZ6255,1445142000,1445152200,1445142360.0,1445151600.0,562.0,正常,2015-10-18,2015-10-18,2015-10-18,2015-10-18,6.0,-10.0,126,45,113,34,1560,5.8,9.3,2.3,0.0,1023.0,225.0,11.0
TYN,HET,8L9985,1445077800,1445080800,1445077680.0,1445080200.0,280.0,正常,2015-10-17,2015-10-17,2015-10-17,2015-10-17,-2.0,-10.0,112,37,111,40,165,15.4,23.4,7.5,0.0,1019.5,26.0,5.0
XMN,HGH,SC4684,1445343000,1445348100,1445343900.0,1445348100.0,770.0,正常,2015-10-20,2015-10-20,2015-10-20,2015-10-20,15.0,0.0,118,24,120,30,392,24.9,26.4,23.3,0.0,1008.2,12.0,20.0
SHE,CGO,CZ6560,1444039500,1444047600,1444040100.0,1444046760.0,227.0,正常,2015-10-05,2015-10-05,2015-10-05,2015-10-05,10.0,-14.0,123,41,113,34,1168,17.6,24.6,10.7,0.0,1016.6,199.0,12.0
URC,CGO,UQ2503,1444716600,1444730100,1444716660.0,1444728180.0,446.0,正常,2015-10-13,2015-10-13,2015-10-13,2015-10-13,1.0,-32.0,88,43,113,34,2777,14.8,19.5,10.1,0.0,1017.2,319.0,8.0
SHE,PVG,MU5604,1444785300,1444793400,1444786860.0,1444794000.0,122.0,正常,2015-10-14,2015-10-14,2015-10-14,2015-10-14,26.0,10.0,123,41,121,31,629,12.9,22.9,3.0,0.0,1017.5,145.0,5.0
HGH,XMN,MU5557,1445299500,1445304300,1445299200.0,1445303940.0,2322.0,正常,2015-10-20,2015-10-20,2015-10-20,2015-10-20,-5.0,-6.0,120,30,118,24,392,20.3,25.1,15.5,0.0,1014.8,40.0,9.0
WUH,CKG,CZ6175,1444001700,1444007400,1444002180.0,1444006620.0,118.0,正常,2015-10-04,2015-10-05,2015-10-04,2015-10-05,8.0,-13.0,114,30,106,29,890,21.1,27.5,14.8,12.9,1022.8,61.0,5.0
HFE,XMN,CZ3838,1445940000,1445945700,1445941140.0,1445945820.0,879.0,正常,2015-10-27,2015-10-27,2015-10-27,2015-10-27,19.0,2.0,117,31,118,24,375,15.8,20.1,11.5,0.0,1021.6,7.0,6.0
SZX,HGH,ZH9753,1445846400,1445853600,1445847720.0,1445853480.0,2123.0,正常,2015-10-26,2015-10-26,2015-10-26,2015-10-26,22.0,-2.0,113,22,120,30,872,26.1,27.8,24.3,0.0,1016.5,67.0,5.0
XMN,PEK,CA1872,1445075700,1445085600,1445077800.0,1445086740.0,823.0,正常,2015-10-17,2015-10-17,2015-10-17,2015-10-17,35.0,19.0,118,24,116,40,835,24.1,28.0,20.1,0.0,1014.1,30.0,14.0
SYX,CTU,3U8758,1444404300,1444413300,1444406220.0,1444413720.0,2317.0,正常,2015-10-09,2015-10-09,2015-10-09,2015-10-09,32.0,7.0,109,18,104,30,670,26.4,28.9,23.8,12.4,1011.2,106.0,11.0
HRB,TAO,ZH9421,1444955100,1444962600,1444955520.0,1444961400.0,1380.0,正常,2015-10-16,2015-10-16,2015-10-16,2015-10-16,7.0,-20.0,126,45,120,36,859,17.1,24.0,10.2,0.0,1012.3,207.0,18.0
KMG,CKG,CZ6950,1444814100,1444819200,1444814280.0,1444817880.0,2173.0,正常,2015-10-14,2015-10-14,2015-10-14,2015-10-14,3.0,-22.0,102,24,106,29,464,15.4,19.0,11.8,0.0,,298.0,4.0
PVG,CTU,3U8962,1445485500,1445498100,1445489400.0,1445498940.0,1303.0,正常,2015-10-22,2015-10-22,2015-10-22,2015-10-22,65.0,14.0,121,31,104,30,1890,21.8,24.7,18.9,0.0,1019.0,58.0,9.0
FOC,TAO,MF8029,1445406300,1445413200,1445406960.0,1445413620.0,155.0,正常,2015-10-21,2015-10-21,2015-10-21,2015-10-21,11.0,7.0,119,26,120,36,558,24.1,28.1,20.1,0.0,1013.6,16.0,10.0
HGH,HRB,3U8581,1445728800,1445740200,1445728860.0,1445738280.0,886.0,正常,2015-10-24,2015-10-25,2015-10-24,2015-10-25,1.0,-32.0,120,30,126,45,1122,23.1,27.3,18.8,0.0,1019.9,75.0,9.0
SHA,XMN,MU5561,1446026700,1446033900,1446027120.0,1446032160.0,122.0,正常,2015-10-28,2015-10-28,2015-10-28,2015-10-28,7.0,-29.0,121,31,118,24,507,15.2,20.2,10.2,4.8,1022.6,71.0,5.0
HRB,PEK,CZ6201,1444261200,1444268700,1444261500.0,1444266720.0,365.0,正常,2015-10-07,2015-10-08,2015-10-07,2015-10-08,5.0,-33.0,126,45,116,40,1147,18.1,24.1,12.2,4.2,1010.3,173.0,14.0
CTU,SZX,CA4329,1445225400,1445233800,1445226240.0,1445233800.0,1632.0,正常,2015-10-19,2015-10-19,2015-10-19,2015-10-19,14.0,0.0,104,30,113,22,1037,23.2,26.3,20.1,,1013.8,318.0,5.0
CKG,PVG,MU5426,1445749800,1445758500,1445750460.0,1445757720.0,575.0,正常,2015-10-25,2015-10-25,2015-10-25,2015-10-25,11.0,-13.0,106,29,121,31,1670,21.5,23.0,20.0,0.0,1013.8,324.0,6.0
SYX,CTU,EU2208,1444663200,1444672500,1444663860.0,1444671660.0,1909.0,正常,2015-10-12,2015-10-12,2015-10-12,2015-10-12,11.0,-14.0,109,18,104,30,670,22.4,23.6,21.1,4.3,1015.7,30.0,31.0
XMN,SHA,HO1194,1445435700,1445441700,1445437440.0,1445442000.0,1196.0,正常,2015-10-21,2015-10-21,2015-10-21,2015-10-21,29.0,5.0,118,24,121,31,507,25.5,27.9,23.1,0.0,1011.1,28.0,13.0
SJW,CTU,3U8670,1444366800,1444376100,1444367520.0,1444375080.0,369.0,正常,2015-10-09,2015-10-09,2015-10-09,2015-10-09,12.0,-17.0,114,38,104,30,1146,19.6,25.9,13.2,0.0,1011.9,270.0,13.0
NKG,SZX,ZH9768,1445943900,1445952300,1445945340.0,1445952540.0,339.0,正常,2015-10-27,2015-10-27,2015-10-27,2015-10-27,24.0,4.0,118,31,113,22,701,15.9,19.4,12.4,0.0,1021.3,353.0,7.0
SHE,PVG,HO1286,1445328600,1445337600,1445329020.0,1445336160.0,1954.0,正常,2015-10-20,2015-10-20,2015-10-20,2015-10-20,7.0,-24.0,123,41,121,31,629,9.1,12.5,5.7,9.6,1021.5,17.0,10.0
PEK,FOC,CA1505,1444953300,1444963200,1444953660.0,1444962780.0,2234.0,正常,2015-10-15,2015-10-16,2015-10-16,2015-10-16,6.0,-7.0,116,40,119,26,790,18.1,25.3,10.8,0.0,1017.2,122.0,5.0
HGH,TYN,MU5485,1444896900,1444903800,1444898520.0,1444905720.0,2010.0,正常,2015-10-15,2015-10-15,2015-10-15,2015-10-15,27.0,32.0,120,30,112,37,951,19.8,26.2,13.4,0.0,1018.7,205.0,5.0
SJW,SZX,CZ6309,1443792300,1443803100,1443793080.0,1443802080.0,1329.0,正常,2015-10-02,2015-10-02,2015-10-02,2015-10-02,13.0,-17.0,114,38,113,22,716,22.1,28.0,16.1,0.0,1014.0,279.0,8.0
TAO,SJW,MU5253,1445125800,1445130600,1445125920.0,1445129460.0,1271.0,正常,2015-10-17,2015-10-18,2015-10-17,2015-10-18,2.0,-19.0,120,36,114,38,674,20.1,22.1,18.1,0.0,1020.7,184.0,9.0
KMG,HGH,CA1752,1443672300,1443681900,1443673560.0,1443682260.0,24.0,正常,2015-10-01,2015-10-01,2015-10-01,2015-10-01,21.0,6.0,102,24,120,30,2013,20.4,24.5,16.2,0.0,,18.0,9.0
HET,HRB,DR6539,1445836500,1445844900,1445837160.0,1445843340.0,70.0,正常,2015-10-26,2015-10-26,2015-10-26,2015-10-26,11.0,-26.0,111,40,126,45,1687,5.0,7.3,2.7,0.0,1024.0,316.0,20.0
WUH,HET,JD5339,1445575500,1445583300,1445576640.0,1445582820.0,561.0,正常,2015-10-23,2015-10-23,2015-10-23,2015-10-23,19.0,-8.0,114,30,111,40,539,19.6,25.6,13.5,0.0,1017.0,33.0,3.0
PVG,CKG,HO1249,1444377900,1444388100,1444379040.0,1444387980.0,1774.0,正常,2015-10-09,2015-10-09,2015-10-09,2015-10-09,19.0,-2.0,121,31,106,29,1670,20.6,23.9,17.2,0.0,1015.4,264.0,8.0
TYN,KMG,DR6530,1445324400,1445334900,1445332200.0,1445340840.0,2208.0,正常,2015-10-20,2015-10-20,2015-10-20,2015-10-20,130.0,99.0,112,37,102,24,1182,15.9,23.8,8.1,0.0,1013.9,53.0,9.0
WUH,HGH,MF8408,1445164800,1445169600,1445166180.0,1445169840.0,789.0,正常,2015-10-18,2015-10-18,2015-10-18,2015-10-18,23.0,4.0,114,30,120,30,667,21.1,28.5,13.7,0.0,1017.2,5.0,3.0
PEK,CTU,CA4104,1444039200,1444050300,1444039860.0,1444048380.0,2456.0,正常,2015-10-05,2015-10-05,2015-10-05,2015-10-05,11.0,-32.0,116,40,104,30,1382,19.1,24.4,13.8,0.0,1017.5,95.0,4.0
KMG,TNA,SC4874,1445316900,1445327400,1445317800.0,1445327820.0,1079.0,正常,2015-10-20,2015-10-20,2015-10-20,2015-10-20,15.0,7.0,102,24,116,36,1608,16.4,22.5,10.2,0.0,,277.0,3.0
KMG,TNA,8L9865,1445472600,1445482500,1445474580.0,1445483760.0,848.0,正常,2015-10-22,2015-10-22,2015-10-22,2015-10-22,33.0,21.0,102,24,116,36,1608,15.9,22.7,9.2,0.0,,239.0,6.0
TYN,CKG,3U8850,1445757600,1445765100,1445763060.0,1445768940.0,767.0,正常,2015-10-25,2015-10-25,2015-10-25,2015-10-25,91.0,64.0,112,37,106,29,725,7.2,9.3,5.2,7.7,1025.2,39.0,11.0
TYN,KWL,SC4962,1444487700,1444492800,1444489560.0,1444498200.0,2147.0,正常,2015-10-10,2015-10-10,2015-10-10,2015-10-10,31.0,90.0,112,37,110,25,526,8.4,14.3,2.5,0.0,1022.8,51.0,7.0
HFE,CKG,MU5483,1444959600,1444966800,1444959840.0,1444966080.0,2243.0,正常,2015-10-16,2015-10-16,2015-10-16,2015-10-16,4.0,-12.0,117,31,106,29,1225,20.5,27.8,13.2,0.0,1019.1,35.0,3.0
TNA,SZX,SC1181,1445814600,1445825100,1445814660.0,1445824560.0,794.0,正常,2015-10-25,2015-10-26,2015-10-25,2015-10-26,1.0,-9.0,116,36,113,22,724,14.3,16.7,12.0,4.1,1023.5,62.0,8.0
TYN,KMG,ZH9427,1444874100,1444884600,1444875360.0,1444884420.0,1237.0,正常,2015-10-15,2015-10-15,2015-10-15,2015-10-15,21.0,-3.0,112,37,102,24,1182,13.3,23.2,3.4,0.0,1020.8,111.0,5.0
TAO,SHA,SC8743,1444962600,1444968300,1444972500.0,1444976400.0,1911.0,正常,2015-10-16,2015-10-16,2015-10-16,2015-10-16,165.0,135.0,120,36,121,31,303,20.3,23.1,17.5,0.0,1020.4,169.0,9.0
HGH,HET,CA1913,1443659400,1443669000,1443661980.0,1443670080.0,1983.0,正常,2015-10-01,2015-10-01,2015-10-01,2015-10-01,43.0,18.0,120,30,111,40,1106,22.6,26.0,19.3,1.1,1016.8,312.0,10.0
CGO,CKG,CZ3641,1444995000,1445001300,1444995840.0,1445001420.0,261.0,正常,2015-10-16,2015-10-16,2015-10-16,2015-10-16,14.0,2.0,113,34,106,29,799,20.0,28.7,11.3,0.0,1018.2,126.0,5.0
CKG,SZX,CA4345,1444820700,1444827900,1444820820.0,1444827420.0,2154.0,正常,2015-10-14,2015-10-14,2015-10-14,2015-10-14,2.0,-8.0,106,29,113,22,819,22.2,27.9,16.6,0.0,1018.5,293.0,5.0
SHE,PEK,CZ6105,1443770400,1443776100,1443770520.0,1443775380.0,424.0,正常,2015-10-02,2015-10-02,2015-10-02,2015-10-02,2.0,-12.0,123,41,116,40,780,14.1,22.8,5.3,0.0,1010.4,302.0,13.0
FOC,NKG,ZH9280,1444655400,1444660200,1444656240.0,1444660140.0,1829.0,正常,2015-10-12,2015-10-12,2015-10-12,2015-10-12,14.0,-1.0,119,26,118,31,287,21.0,25.8,16.2,0.0,1022.4,341.0,7.0
PVG,XMN,FM9527,1444811100,1444817700,1444812420.0,1444818060.0,837.0,正常,2015-10-14,2015-10-14,2015-10-14,2015-10-14,22.0,6.0,121,31,118,24,507,19.1,24.0,14.1,0.1,1020.8,137.0,5.0
WUH,CKG,OQ2378,1444641300,1444646400,1444641120.0,1444645380.0,1669.0,正常,2015-10-12,2015-10-12,2015-10-12,2015-10-12,-3.0,-17.0,114,30,106,29,890,19.5,27.1,11.9,0.0,1023.1,34.0,3.0
WUH,HRB,CZ6278,1445946600,1445958300,1445949720.0,1445959440.0,1285.0,正常,2015-10-27,2015-10-27,2015-10-27,2015-10-27,52.0,19.0,114,30,126,45,1564,14.2,19.5,9.0,0.2,1021.5,345.0,3.0
NKG,SZX,PN6298,1444393500,1444401900,1444395420.0,1444402740.0,87.0,正常,2015-10-09,2015-10-09,2015-10-09,2015-10-09,32.0,14.0,118,31,113,22,701,19.6,23.4,15.8,0.0,1015.8,299.0,6.0
SHE,WUH,CZ6762,1445502300,1445512800,1445503140.0,1445511840.0,259.0,正常,2015-10-22,2015-10-22,2015-10-22,2015-10-22,14.0,-16.0,123,41,114,30,1154,9.2,17.2,1.2,0.0,1021.5,81.0,3.0
KMG,TYN,MU5299,1445759700,1445770200,1445760300.0,1445768580.0,2268.0,正常,2015-10-25,2015-10-25,2015-10-25,2015-10-25,10.0,-27.0,102,24,112,37,1182,16.4,23.2,9.5,0.0,,226.0,10.0
SYX,WUH,JD5347,1443745200,1443753300,1443746280.0,1443753540.0,252.0,正常,2015-10-02,2015-10-02,2015-10-02,2015-10-02,18.0,4.0,109,18,114,30,737,25.4,28.0,22.9,20.7,1011.4,42.0,21.0
HGH,PEK,CA1703,1443920400,1443928500,1443921360.0,1443927660.0,1069.0,正常,2015-10-04,2015-10-04,2015-10-04,2015-10-04,16.0,-14.0,120,30,116,40,684,20.8,22.6,19.0,4.1,1023.1,2.0,9.0
WUH,URC,CZ3911,1444794600,1444809900,1444794360.0,1444809420.0,1146.0,正常,2015-10-14,2015-10-14,2015-10-14,2015-10-14,-4.0,-8.0,114,30,88,43,2885,20.4,27.8,13.1,0.0,1018.8,190.0,4.0
TYN,NKG,HU7867,1445559300,1445565300,1445559480.0,1445564820.0,2182.0,正常,2015-10-23,2015-10-23,2015-10-23,2015-10-23,3.0,-8.0,112,37,118,31,723,12.0,15.4,8.6,0.0,1020.2,102.0,4.0
TYN,KMG,MU2143,1444174800,1444185300,1444175100.0,1444183740.0,110.0,正常,2015-10-06,2015-10-07,2015-10-06,2015-10-07,5.0,-26.0,112,37,102,24,1182,15.9,23.7,8.1,0.4,1017.7,277.0,6.0
PVG,PEK,CA156,1444560900,1444570500,1444563660.0,1444570500.0,2211.0,正常,2015-10-11,2015-10-11,2015-10-11,2015-10-11,46.0,0.0,121,31,116,40,731,17.4,21.8,13.1,0.0,1021.9,275.0,9.0
URC,NKG,CZ6621,1444971000,1444986600,1444971420.0,1444985520.0,2037.0,正常,2015-10-16,2015-10-16,2015-10-16,2015-10-16,7.0,-18.0,88,43,118,31,3331,6.0,10.0,2.1,0.0,1027.7,6.0,4.0
SHA,SZX,CZ3588,1444048200,1444057500,1444055040.0,1444061820.0,2155.0,正常,2015-10-05,2015-10-05,2015-10-05,2015-10-05,114.0,72.0,121,31,113,22,996,20.1,21.9,18.3,1.5,1022.0,88.0,6.0
WUH,XMN,JD5340,1445514600,1445519700,1445514780.0,1445519940.0,561.0,正常,2015-10-22,2015-10-22,2015-10-22,2015-10-22,3.0,4.0,114,30,118,24,531,19.9,26.4,13.5,0.0,1017.4,8.0,5.0
SZX,CTU,CA4330,1443881400,1443891900,1443882000.0,1443889080.0,1681.0,正常,2015-10-03,2015-10-03,2015-10-03,2015-10-03,10.0,-47.0,113,22,104,30,1037,26.6,28.4,24.7,56.8,1011.9,24.0,8.0
TNA,SHE,CZ3925,1444965000,1444971000,1444965300.0,1444970820.0,1273.0,正常,2015-10-16,2015-10-16,2015-10-16,2015-10-16,5.0,-3.0,116,36,123,41,824,20.9,28.1,13.6,0.0,1018.9,132.0,6.0
FOC,PEK,CA1506,1445744400,1445754300,1445746500.0,1445755200.0,2138.0,正常,2015-10-25,2015-10-25,2015-10-25,2015-10-25,35.0,15.0,119,26,116,40,790,24.1,28.0,20.3,0.0,1019.8,32.0,10.0
SYX,TYN,JD5187,1445335800,1445347500,1445336580.0,1445347440.0,2025.0,正常,2015-10-20,2015-10-20,2015-10-20,2015-10-20,13.0,-1.0,109,18,112,37,807,24.2,27.0,21.4,0.0,1009.9,176.0,7.0
TGO,HRB,GJ8753,1444702200,1444705500,1444701780.0,1444704300.0,532.0,正常,2015-10-13,2015-10-13,2015-10-13,2015-10-13,-7.0,-20.0,122,43,126,45,461,9.5,16.2,2.8,0.0,1019.4,150.0,5.0
SZX,PVG,CZ3831,1445050800,1445058900,1445051280.0,1445057400.0,1916.0,正常,2015-10-17,2015-10-17,2015-10-17,2015-10-17,8.0,-25.0,113,22,121,31,996,26.6,31.0,22.2,0.0,1013.3,2.0,5.0
TGO,HET,MU2372,1445400000,1445406300,1445399400.0,1445405520.0,1384.0,正常,2015-10-21,2015-10-21,2015-10-21,2015-10-21,-10.0,-13.0,122,43,111,40,1231,6.6,13.8,-0.6,0.0,1025.4,263.0,6.0
SZX,WUH,ZH9853,1445383200,1445389800,1445383800.0,1445388660.0,1237.0,正常,2015-10-20,2015-10-21,2015-10-20,2015-10-21,10.0,-19.0,113,22,114,30,371,25.4,28.5,22.4,0.0,1008.8,10.0,6.0
HET,SZX,HU7264,1445776200,1445787900,1445778240.0,1445788800.0,353.0,正常,2015-10-25,2015-10-25,2015-10-25,2015-10-25,34.0,15.0,111,40,113,22,778,8.4,13.1,3.7,3.0,1021.3,242.0,11.0
SYX,PVG,HO1228,1445054400,1445065200,1445055420.0,1445064720.0,1011.0,正常,2015-10-17,2015-10-17,2015-10-17,2015-10-17,17.0,-8.0,109,18,121,31,1460,24.0,26.7,21.3,0.0,1013.5,28.0,15.0
TAO,CGO,MF8520,1445696100,1445702100,1445695800.0,1445700720.0,2107.0,正常,2015-10-24,2015-10-24,2015-10-24,2015-10-24,-5.0,-23.0,120,36,113,34,784,18.4,21.6,15.1,0.0,1023.9,15.0,11.0
NKG,SYX,JD5126,1444448400,1444458900,1444449600.0,1444459260.0,2025.0,正常,2015-10-10,2015-10-10,2015-10-10,2015-10-10,20.0,6.0,118,31,109,18,1149,18.0,24.4,11.6,0.0,1017.9,320.0,9.0
HFE,XMN,SC8778,1445068500,1445074500,1445068200.0,1445072760.0,1022.0,正常,2015-10-17,2015-10-17,2015-10-17,2015-10-17,-5.0,-29.0,117,31,118,24,375,20.8,27.5,14.0,0.0,1019.3,103.0,6.0
TNA,SHA,MU5572,1445565300,1445570400,1445566380.0,1445570820.0,345.0,正常,2015-10-23,2015-10-23,2015-10-23,2015-10-23,18.0,7.0,116,36,121,31,615,14.4,17.9,11.0,0.0,1019.5,340.0,3.0
SYX,NKG,CZ6623,1446012900,1446023100,1446013200.0,1446021840.0,1889.0,正常,2015-10-28,2015-10-28,2015-10-28,2015-10-28,5.0,-21.0,109,18,118,31,1149,24.4,26.6,22.3,0.0,1016.1,60.0,23.0
SHE,CGO,ZH9608,1445731200,1445740800,1445731200.0,1445739300.0,762.0,正常,2015-10-25,2015-10-25,2015-10-25,2015-10-25,0.0,-25.0,123,41,113,34,1168,5.0,13.7,-3.7,0.0,1025.0,48.0,5.0
TAO,CKG,SC4838,1446019200,1446029400,1446020640.0,1446030660.0,1710.0,正常,2015-10-28,2015-10-28,2015-10-28,2015-10-28,24.0,21.0,120,36,106,29,1583,15.2,19.4,10.9,0.0,1022.3,354.0,10.0
SHA,XMN,MF8506,1445257500,1445262900,1445262180.0,1445267400.0,1387.0,正常,2015-10-19,2015-10-19,2015-10-19,2015-10-19,78.0,75.0,121,31,118,24,507,19.2,23.7,14.8,0.0,1016.4,54.0,7.0
KMG,NKG,3U8505,1444020600,1444029600,1444021380.0,1444029120.0,324.0,正常,2015-10-05,2015-10-05,2015-10-05,2015-10-05,13.0,-8.0,102,24,118,31,1795,19.3,23.5,15.1,0.0,,129.0,5.0
KWL,PVG,FM9380,1444103400,1444112400,1444103460.0,1444110720.0,1672.0,正常,2015-10-06,2015-10-06,2015-10-06,2015-10-06,1.0,-28.0,110,25,121,31,1254,21.4,23.6,19.1,2.8,1013.6,47.0,3.0
HFE,SHE,ZH9456,1445334300,1445342700,1445334840.0,1445342700.0,292.0,正常,2015-10-20,2015-10-20,2015-10-20,2015-10-20,9.0,0.0,117,31,123,41,866,19.8,25.6,14.0,0.0,1014.9,83.0,7.0
WUH,PEK,CZ6400,1444273200,1444281300,1444276200.0,1444281960.0,1571.0,正常,2015-10-08,2015-10-08,2015-10-08,2015-10-08,50.0,11.0,114,30,116,40,519,19.9,24.0,15.9,0.0,1018.2,10.0,14.0
HET,PEK,CA1106,1444311300,1444316100,1444311660.0,1444315140.0,269.0,正常,2015-10-08,2015-10-08,2015-10-08,2015-10-08,6.0,-16.0,111,40,116,40,555,6.2,13.2,-0.7,0.0,1023.5,316.0,15.0
URC,CGO,GS6527,1445077800,1445090700,1445080200.0,1445093100.0,1252.0,正常,2015-10-17,2015-10-17,2015-10-17,2015-10-17,40.0,40.0,88,43,113,34,2777,8.1,13.8,2.3,0.0,1025.1,229.0,7.0
HFE,CKG,MU5483,1444527600,1444534800,1444529040.0,1444535460.0,2064.0,正常,2015-10-11,2015-10-11,2015-10-11,2015-10-11,24.0,11.0,117,31,106,29,1225,17.0,24.7,9.3,0.0,1022.4,265.0,7.0
TAO,PEK,SC4651,1444864200,1444870500,1444864500.0,1444868520.0,2310.0,正常,2015-10-14,2015-10-15,2015-10-14,2015-10-15,5.0,-33.0,120,36,116,40,491,20.2,23.1,17.4,0.0,1019.1,172.0,9.0
